"flybase_gene_ID" "t0" "t1" "t2" "t4" "t8" "t16" "t24"
"106" "FBgn0000318" 17819 17673 14873 18266 14240 4239 5090
"107" "FBgn0000319" 38885 36104 34829 36006 15236 7145 22388
"108" "FBgn0000320" 3 0 0 0 0 0 1
"109" "FBgn0000326" 6204 4957 5333 2607 1042 666 1288
"110" "FBgn0000330" 5465 4624 4017 1888 773 551 1319
"111" "FBgn0000337" 1 2 2 0 8 0 1
"112" "FBgn0000339" 33575 32597 31394 28017 12517 7476 6538
"113" "FBgn0000346" 3359 2275 1401 828 428 350 872
"114" "FBgn0000351" 409 350 403 409 191 95 110
"115" "FBgn0000352" 4634 2486 1312 1069 739 596 1940
"116" "FBgn0000355" 8 5 4 8 5 2 2
"117" "FBgn0000356" 0 0 0 0 0 0 0
"118" "FBgn0000357" 81 34 30 24 27 54 25
"119" "FBgn0000358" 0 0 0 0 1 0 0
"120" "FBgn0000359" 0 1 0 0 0 4 0
"121" "FBgn0000360" 0 0 0 0 0 0 0
"122" "FBgn0000370" 274021 278639 264972 404994 316661 115073 66610
"123" "FBgn0000376" 6468 2695 1972 1723 1359 947 2219
"124" "FBgn0000377" 11447 8823 8152 3682 1448 1018 2443
"125" "FBgn0000382" 2052 890 353 477 318 330 994
"126" "FBgn0000384" 8058 5459 3192 2695 1535 1471 2612
"127" "FBgn0000392" 0 0 0 0 0 0 0
"128" "FBgn0000394" 2990 2470 2814 2753 1797 1018 1110
"129" "FBgn0000395" 17576 8824 3985 4501 3586 3242 3240
"130" "FBgn0000404" 19177 17252 14336 11261 4795 3292 8289
"131" "FBgn0000405" 21422 12979 7112 4649 3695 2661 7491
"132" "FBgn0000406" 145 94 149 86 51 18 58
"133" "FBgn0000409" 40582 41920 28072 42646 33208 13677 13114
"134" "FBgn0000411" 0 0 0 0 0 0 0
"135" "FBgn0000412" 13770 14412 9199 17713 13254 6523 15600
"136" "FBgn0000414" 2867 2179 1351 1302 901 758 2336
"137" "FBgn0000416" 154210 156443 178960 285562 298122 159573 183268
"138" "FBgn0000422" 60 43 32 55 28 18 30
"139" "FBgn0000426" 4260 4320 3646 5473 6906 3708 7568
"140" "FBgn0000427" 0 1 0 0 0 0 0
"141" "FBgn0000439" 0 0 0 0 0 0 0
"142" "FBgn0000442" 0 0 0 0 0 0 0
"143" "FBgn0000447" 14732 12414 13242 10507 5030 1918 2773
"144" "FBgn0000448" 0 1 0 2 0 1 0
"145" "FBgn0000449" 0 0 0 1 0 0 0
"146" "FBgn0000451" 2 2 0 3 1 0 0
"147" "FBgn0000454" 51281 50422 58356 60139 34952 8474 11295
"148" "FBgn0000455" 8240 7393 7398 4641 1465 711 1611
"149" "FBgn0000459" 0 2 0 1 0 0 0
"150" "FBgn0000463" 6 0 0 2 0 4 8
"151" "FBgn0000464" 99 64 44 46 38 45 71
"152" "FBgn0000473" 17 10 6 9 1 7 40
"153" "FBgn0000477" 3 1 5 1 4 0 0
"154" "FBgn0000479" 373 206 59 206 129 145 381
"155" "FBgn0000482" 4719 3258 2381 1074 808 780 3068
"156" "FBgn0000489" 110 69 32 63 36 31 18
"157" "FBgn0000490" 301 154 64 154 152 128 204
"158" "FBgn0000492" 1 0 0 0 0 0 0
"159" "FBgn0000497" 0 0 0 0 0 0 0
"160" "FBgn0000499" 5856 3439 1705 1322 972 589 1904
"161" "FBgn0000500" 8 3 3 7 5 6 7
"162" "FBgn0000504" 148 110 102 47 32 106 79
"163" "FBgn0000520" 3824 1231 882 765 666 599 1229
"164" "FBgn0000524" 3331 1223 675 700 580 656 1453
"165" "FBgn0000527" 271 85 34 60 97 107 261
"166" "FBgn0000529" 0 0 1 0 1 3 0
"167" "FBgn0000533" 6 1 9 4 5 1 5
"168" "FBgn0000535" 21 15 15 19 33 16 77
"169" "FBgn0000536" 14239 9263 5765 4235 3163 3386 13365
"170" "FBgn0000541" 7558 4151 1777 2838 2095 1862 5181
"171" "FBgn0000542" 1467 658 324 420 345 127 982
"172" "FBgn0000543" 8441 5695 3814 1573 1028 913 1929
"173" "FBgn0000546" 1690 723 275 400 245 228 1096
"174" "FBgn0000547" 133 92 33 89 74 48 215
"175" "FBgn0000551" 25 11 11 6 5 9 0
"176" "FBgn0000552" 1 0 1 1 0 0 0
"177" "FBgn0000556" 1099489 1209397 1022032 1878502 2282958 1561635 1378790
